5.88,6,0.6,30.9,18.9,13.82,2.4,7000,12900
34.79,33.77,4.3,40.6,20,20.22,3.6,20600,40200
4.04,4.55,-0.5,28.2,32.8,17.39,3.2,4300,8000
16.14,14.75,3.6,24.3,12.2,24.68,1.5,8700,19500
16.07,15.02,3.2,39.2,17,25.39,3.5,22400,52000
15.95,13.13,4.8,29.1,18.7,20.99,2.4,22200,40300
10.93,12.29,5.3,41.2,24.4,27.59,3.9,9100,19700
28.91,18.92,9,46.9,21.1,37.53,3.9,20300,66700
3.11,5.03,1.6,31.7,31.8,9.83,11.5,9800,17200
6.29,7.09,7.1,37.3,26.1,14.98,9.9,14500,25700
7.36,8.49,-0.8,36.9,17.4,16.52,5.6,19400,35000
3.59,5.82,-3.3,25.4,24.8,16.3,4.9,6600,12600
7.69,7.04,1.1,19.3,27.3,13.44,6.1,17500,29200
4.92,10.61,9.3,44.1,23.9,14.81,5.7,14200,24300
7.08,8.63,-2.5,33.9,28.4,16.49,5.2,7400,15100
10.06,11.02,-1.2,41.7,28.3,14.28,4.3,8800,16200
10.89,10.54,3.3,25.1,19.6,23.89,2.3,6500,13700
35.83,31.83,5,38.3,16.7,19.75,2.7,19400,44900
17.73,18.59,4,32.7,17.5,20.3,3.3,23600,43600
5.62,7.32,1.1,25,21.6,13.92,4.7,11700,19800
3.45,4.24,-2.8,17.8,32.5,13.3,2.5,5100,10500
18.11,17.32,7.2,32.5,16.2,25.98,3.4,11200,22100
14.54,14.46,0.7,24.6,16.3,20.32,4.2,8600,16500
11.65,12.08,2.1,44.5,16.5,26.54,4.9,20800,42500
13.89,14.28,8.5,43.2,18,26.27,4.6,22200,46300
